,[] -  / Time ,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
16,ZORTRESS (J8561) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ZORTRESS (J8561) - Dose USD ,,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ZULRESSO (F3490Z) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,52,82,120,142,129,169,141,81
19,ZULRESSO (F3490Z) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$178,800.00 ","$178,800.00 ","$387,400.00 ","$610,900.00 ","$894,000.00 ","$1,057,900.00 ","$961,050.00 ","$1,259,050.00 ","$1,050,450.00 ","$603,450.00 "
20,ZYPREXA RELPREVV (J2358) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ZYPREXA RELPREVV (J2358) - Dose USD ,,,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,$0.00 ,,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ZYTIGA (J899Z) - Dose Units ,"11,645","11,715","9,905","7,995","5,480","10,605","7,920","12,365","11,880","8,955","11,485","10,690","14,010","9,490","13,210","10,815","14,065","12,930","11,880","15,850","13,365","11,425","14,460","13,050","13,725","13,139","13,006","13,218","15,800","13,151","13,315","17,013","12,764","17,040","12,598","12,870","16,247","13,308","13,082","12,647","16,820","13,257","16,848","12,848","12,304","15,203","11,503","11,479","14,572","11,947","11,690","14,430","11,234","11,772","13,852","14,118","16,144","12,653","12,436","15,783","12,795","12,263","15,127","11,863","12,424","16,293","12,726","12,534","15,772","13,137","13,491","14,477","11,656","12,565","17,246","13,096","13,474","16,692","13,158","16,634","13,378","13,655","16,375","13,998","14,015","13,730","13,290","12,636","15,914","11,811","12,385","16,627","14,061","13,941","17,245","12,654","16,175","13,797","10,843"
23,ZYTIGA (J899Z) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ZYVOX (J2020) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ZYVOX (J2020) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,$0.00 ,$0.00 ,,$0.00 ,,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,VIVAGLOBULIN (J1562) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VIVAGLOBULIN (J1562) - Dose USD ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,VIVITROL (J2315) - Dose Units ,"1,199",870,987,989,830,"1,238","1,015","1,001","1,068",831,"1,054","2,559","2,771","3,511","4,828","3,602","4,552","3,668","3,391","3,310","1,411","1,225","1,570","1,556","2,453","1,464","2,440","1,952","2,044","1,727","1,504","2,044","1,661","3,061","4,261","4,724","5,013","4,883","5,833","4,896","5,436","4,250","5,173","5,410","4,645","5,793","3,774","4,157","4,593","3,456","4,222","5,028","4,209","4,328","4,789","4,421","5,002","3,654","4,077","4,962","4,909","3,852","3,891","2,849","3,418","4,526","4,195","5,291","6,333","4,935","4,698","26,781","17,885","17,344","24,800","20,934","21,421","26,714","15,443","17,223","19,284","21,778","25,618","22,187","23,151","21,540","26,214","22,228","29,883","22,003","30,953","34,001","24,207","21,831","28,114","23,020","26,768","21,646","17,899"
3,VIVITROL (J2315) - Dose USD ,"$1,282,570.30 ","$930,639.00 ","$1,055,793.90 ","$1,069,959.54 ","$897,943.80 ","$1,339,342.68 ","$1,094,616.60 ","$1,079,518.44 ","$1,151,773.92 ","$899,973.00 ","$1,141,482.00 ","$2,771,397.00 ","$2,994,675.12 ","$3,794,407.92 ","$5,217,716.16 ","$3,873,590.80 ","$4,895,220.80 ","$3,944,567.20 ","$3,651,835.72 ","$3,564,605.20 ","$1,519,534.12 ","$1,305,262.00 ","$1,672,866.40 ","$1,657,949.12 ","$2,567,113.56 ","$1,532,105.28 ","$2,553,508.80 ","$2,048,741.12 ","$2,145,300.64 ","$1,812,590.12 ","$1,567,679.36 ","$2,130,542.96 ","$1,731,326.74 ","$3,344,142.50 ","$4,655,142.50 ","$5,160,970.00 ","$5,497,656.84 ","$5,355,088.44 ","$6,396,934.44 ","$5,516,323.20 ","$6,124,741.20 ","$4,788,475.00 ","$6,254,984.68 ","$6,541,555.60 ","$5,616,548.20 ","$7,009,066.56 ","$4,566,238.08 ","$5,029,637.44 ","$5,555,417.22 ","$4,180,170.24 ","$5,106,677.88 ","$6,115,958.64 ","$5,119,743.42 ","$5,264,492.64 ","$5,919,874.46 ","$5,464,974.94 ","$6,183,172.28 ","$4,497,416.28 ","$5,018,053.14 ","$6,107,328.84 ","$6,064,480.42 ","$4,758,683.76 ","$4,806,863.58 ","$3,516,349.76 ","$4,218,632.32 ","$5,586,170.24 ","$5,172,854.50 ","$6,524,332.10 ","$7,809,222.30 ","$6,117,228.60 ","$5,823,452.88 ","$33,196,656.36 ","$22,108,363.90 ","$21,439,612.16 ","$30,656,272.00 ","$25,948,949.04 ","$26,552,614.76 ","$33,113,605.84 ","$19,148,393.42 ","$21,355,486.62 ","$23,911,002.96 ","$26,937,208.20 ","$31,686,904.20 ","$27,443,100.30 ","$28,573,890.24 ","$26,585,529.60 ","$32,354,367.36 ","$27,316,433.76 ","$36,723,816.36 ","$27,039,926.76 ","$38,038,760.76 ","$41,784,508.92 ","$29,748,466.44 ","$26,936,397.66 ","$34,688,740.04 ","$28,403,457.20 ","$32,905,902.40 ","$26,609,427.80 ","$22,003,240.70 "
4,VPRIV (J3385) - Dose Units ,184,442,"1,031",416,473,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,VPRIV (J3385) - Dose USD ,"$5,293,990.58 ","$11,623,342.41 ","$26,343,892.48 ","$10,072,696.35 ","$11,695,262.81 ","$10,962,350.86 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
6,VYXEOS (C92J34) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,889,"1,340","1,857","1,465","1,881","1,703","2,178","2,003","1,976","2,735","2,047","2,748","2,574","2,590","3,106","2,290","2,463","2,614","3,373","2,817","3,381","3,013","2,718","3,643","2,933","3,022","4,060","3,028","4,014","3,406","2,260"
7,VYXEOS (C92J34) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,945,250.00 ","$6,889,750.00 ","$10,385,000.00 ","$14,391,750.00 ","$11,353,750.00 ","$14,577,750.00 ","$13,198,250.00 ","$16,879,500.00 ","$15,523,250.00 ","$15,314,000.00 ","$21,196,250.00 ","$15,864,250.00 ","$21,297,000.00 ","$19,948,500.00 ","$20,072,500.00 ","$24,071,500.00 ","$17,747,500.00 ","$19,088,250.00 ","$20,258,500.00 ","$26,140,750.00 ","$21,831,750.00 ","$26,202,750.00 ","$23,350,750.00 ","$21,064,500.00 ","$28,233,250.00 ","$22,730,750.00 ","$23,420,500.00 ","$31,465,000.00 ","$23,467,000.00 ","$31,108,500.00 ","$26,396,500.00 ","$17,515,000.00 "
8,WILATE (J7183) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WILATE (J7183) - Dose USD ,$0.00 ,,,,$0.00 ,,,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,$0.00 ,,$0.00 ,,,,$0.00 ,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
10,WINRHO SDF (J2792) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WINRHO SDF (J2792) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,$0.00 ,,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,XELODA (J8520) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,XELODA (J8520) - Dose USD ,$0.00 ,,,,$0.00 ,,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,$0.00 ,,$0.00 ,,,,$0.00 ,,,,,,,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,XELODA (J8521) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,XELODA (J8521) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,,,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,$0.00 ,,,,,,,,,,,,,$0.00 ,,$0.00 ,$0.00 ,,,,,,,,,$0.00 ,,
16,XEOMIN (J0588) - Dose Units ,989,922,"1,489",698,710,"1,277","1,463","1,596","1,291","1,318","1,396","1,371","1,186","1,504","1,766","1,265","2,282","1,490","1,332","1,899","1,899","1,979","2,282","1,622","2,757","1,595","1,834","1,860","2,057","1,675","1,398","2,466","1,318","2,599","2,573","2,362","1,819","2,072","2,678","1,728","2,387","2,203","2,110","1,781","1,953",605,500,420,896,566,803,591,989,909,790,"1,054","1,265",976,"1,305","1,660",632,856,"1,239","1,279",949,"1,503",909,"1,319","1,239",739,"1,319","1,277",896,"1,107","1,951","1,278",988,"1,410","1,108",816,"1,398","1,055","1,054","1,108","1,318",856,778,"1,873",723,"1,318","1,199","1,476",961,975,685,976,315,764,394
17,XEOMIN (J0588) - Dose USD ,"$2,560,378.49 ","$2,484,107.72 ","$3,489,436.66 ","$1,468,403.47 ","$1,416,536.55 ","$2,436,602.84 ","$2,674,093.20 ","$2,496,029.09 ","$1,873,089.18 ","$1,944,076.36 ","$2,003,924.50 ","$1,968,546.92 ","$1,679,788.14 ","$2,070,861.36 ","$2,414,569.33 ","$1,642,498.14 ","$2,855,813.46 ","$1,804,926.40 ","$1,628,633.07 ","$2,304,934.04 ","$2,441,724.52 ","$2,764,945.01 ","$3,205,023.36 ","$2,285,422.33 ","$3,852,940.58 ","$2,255,872.30 ","$2,708,900.53 ","$2,491,260.75 ","$2,714,322.37 ","$2,322,538.25 ","$1,941,318.72 ","$3,400,248.79 ","$1,719,779.12 ","$3,393,950.67 ","$3,428,219.92 ","$3,078,819.76 ","$2,484,066.24 ","$2,838,914.54 ","$3,794,705.92 ","$2,433,304.80 ","$3,364,724.75 ","$3,151,848.62 ","$3,057,005.77 ","$2,688,882.56 ","$2,967,265.94 ","$918,585.11 ","$730,383.30 ","$587,569.50 ","$1,154,952.96 ","$726,046.35 ","$994,666.06 ","$678,947.89 ","$1,260,272.81 ","$1,282,648.90 ","$1,110,986.48 ","$1,428,470.39 ","$1,724,222.70 ","$1,346,567.58 ","$1,791,216.90 ","$2,184,430.52 ","$829,858.66 ","$1,082,317.84 ","$1,582,906.13 ","$1,627,703.36 ","$1,129,193.75 ","$1,569,652.04 ","$900,167.52 ","$1,301,091.28 ","$1,317,537.73 ","$749,146.47 ","$1,421,600.53 ","$1,425,527.87 ","$1,074,883.35 ","$1,263,095.30 ","$1,899,950.13 ","$1,119,738.87 ","$787,011.16 ","$1,170,280.26 ","$928,636.96 ","$738,587.71 ","$1,432,027.32 ","$1,168,280.63 ","$1,220,205.26 ","$1,370,656.94 ","$1,621,195.88 ","$1,000,253.03 ","$897,638.90 ","$2,160,636.61 ","$870,228.83 ","$1,573,448.04 ","$1,434,447.63 ","$1,856,131.99 ","$1,297,393.25 ","$1,296,472.03 ","$930,642.37 ","$1,340,698.60 ","$414,972.59 ","$937,460.47 ","$452,356.64 "
18,XERAVA (J3490X) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,85,314,602,743,603,717,"1,012",894,965,"1,251","1,005","1,239","1,024",776
19,XERAVA (J3490X) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,416.00 ","$52,870.00 ","$195,308.00 ","$374,444.00 ","$462,146.00 ","$375,066.00 ","$445,974.00 ","$629,464.00 ","$556,068.00 ","$600,230.00 ","$778,122.00 ","$625,110.00 ","$770,658.00 ","$636,928.00 ","$482,672.00 "
20,XGEVA (J0897) - Dose Units ,"19,335","20,364","24,496","21,830","21,962","30,355","24,892","29,723","25,870","26,899","35,149","29,895","25,222","28,786","39,292","31,071","39,808","35,530","29,156","39,756","33,460","39,638","52,455","45,486","49,074","42,398","44,839","45,855","57,617","38,596","36,880","47,360","45,709","56,531","42,958","44,297","57,473","49,215","46,530","46,307","59,273","52,384","67,065","43,835","43,524","55,777","53,535","52,461","66,821","53,808","53,390","58,927","50,113","52,753","67,125","53,117","65,228","53,602","57,834","66,714","49,227","53,156","66,247","51,363","55,241","56,972","49,689","48,220","67,823","53,171","53,439","64,709","51,677","58,225","73,642","64,531","59,457","77,622","57,165","72,270","64,893","61,365","63,831","54,121","57,819","60,070","89,258","64,820","89,930","65,963","62,178","81,499","73,739","72,983","92,065","67,297","89,256","65,864","40,158"
21,XGEVA (J0897) - Dose USD ,"$25,108,624.35 ","$26,444,894.04 ","$31,810,750.56 ","$28,275,962.40 ","$28,446,939.36 ","$39,318,224.40 ","$32,242,109.76 ","$38,499,607.44 ","$33,508,893.60 ","$34,669,852.11 ","$45,303,194.61 ","$38,531,366.55 ","$32,394,884.58 ","$36,972,450.54 ","$50,466,251.88 ","$39,761,869.41 ","$50,942,695.68 ","$45,468,096.30 ","$37,153,782.36 ","$50,661,468.36 ","$42,638,412.60 ","$50,489,695.26 ","$66,815,605.35 ","$57,938,702.22 ","$63,096,404.76 ","$54,512,804.52 ","$57,651,295.86 ","$59,110,304.85 ","$74,272,346.19 ","$49,752,945.72 ","$47,925,928.80 ","$61,544,793.60 ","$59,399,302.59 ","$73,498,214.34 ","$55,851,414.12 ","$57,592,301.58 ","$75,959,190.45 ","$65,045,004.75 ","$61,496,374.50 ","$61,293,334.41 ","$78,455,520.99 ","$69,337,033.92 ","$91,322,410.50 ","$59,690,119.50 ","$59,266,630.80 ","$76,478,633.55 ","$73,404,515.25 ","$71,931,900.15 ","$93,149,142.21 ","$75,008,890.08 ","$74,426,193.90 ","$82,786,542.30 ","$70,403,753.70 ","$74,112,689.70 ","$97,342,661.25 ","$77,028,679.89 ","$94,591,688.76 ","$78,281,968.86 ","$84,462,508.62 ","$97,431,127.02 ","$73,177,412.31 ","$79,017,988.68 ","$98,478,152.91 ","$76,870,379.43 ","$82,674,233.01 ","$85,264,864.92 ","$76,180,690.35 ","$73,928,493.00 ","$103,982,832.45 ","$82,940,379.48 ","$83,358,427.32 ","$100,938,274.92 ","$82,549,356.57 ","$93,009,197.25 ","$117,636,467.22 ","$104,174,329.23 ","$95,983,218.81 ","$125,307,523.26 ","$94,552,053.30 ","$119,536,025.40 ","$107,334,319.86 ","$102,614,553.00 ","$106,738,198.20 ","$90,501,136.20 ","$96,846,246.81 ","$100,616,649.30 ","$149,506,257.42 ","$109,033,722.00 ","$151,271,253.00 ","$110,956,362.30 ","$106,906,366.08 ","$140,126,120.64 ","$126,783,887.04 ","$126,613,827.72 ","$159,718,044.60 ","$116,749,527.48 ","$154,860,945.12 ","$114,275,357.28 ","$69,674,933.16 "
22,XIAFLEX (J0775) - Dose Units ,"1,011","1,255","1,255","1,098",823,"1,193","1,130","1,079",842,"1,158","1,441","1,232","1,015","1,288","1,486","1,113","1,551","1,138","1,169","1,135","1,553","1,230","1,203","1,175","1,280",911,"1,410","1,312","2,096","1,808","1,577","1,824","1,387","1,691","2,616","1,292","2,472","1,632","1,728","1,634","2,871","2,001","2,697","2,436","2,078","3,942","3,068","2,659","3,028","2,532","2,552","3,830","2,513","2,743","2,717","1,365","1,647","1,564","2,032","2,210","2,363","1,450","1,303","1,861","1,536","1,763","1,677","1,702","2,077","1,596","1,789","2,223","1,791","1,645","2,167","1,725","1,669","2,047","1,691","2,405","1,939","2,012","2,781","2,398","2,234","2,665","3,285","2,619","3,148","2,586","2,572","3,243","2,571","2,790","3,320","2,671","3,394","2,561","1,700"
23,XIAFLEX (J0775) - Dose USD ,"$3,412,462.72 ","$4,238,637.90 ","$4,238,637.90 ","$3,706,828.07 ","$2,780,121.05 ","$4,029,160.95 ","$3,814,903.42 ","$3,641,498.72 ","$2,843,837.09 ","$3,908,835.59 ","$4,865,252.80 ","$4,158,335.73 ","$3,427,936.15 ","$4,347,626.33 ","$5,016,491.92 ","$3,757,273.38 ","$5,234,852.80 ","$3,841,706.49 ","$4,069,618.85 ","$3,953,344.02 ","$5,406,779.32 ","$4,271,351.04 ","$4,175,365.63 ","$4,079,380.21 ","$4,401,452.11 ","$3,133,237.09 ","$4,849,057.40 ","$4,538,050.56 ","$7,249,812.48 ","$6,253,655.04 ","$5,491,981.35 ","$6,352,171.20 ","$4,830,296.85 ","$5,822,941.59 ","$9,008,169.84 ","$4,448,989.08 ","$8,555,023.44 ","$5,647,976.64 ","$5,980,210.56 ","$5,650,045.20 ","$9,927,343.80 ","$6,919,057.80 ","$9,236,119.23 ","$8,342,301.24 ","$7,116,298.02 ","$13,502,926.80 ","$10,509,127.20 ","$9,108,138.60 ","$10,480,574.16 ","$8,763,809.04 ","$8,833,033.44 ","$13,269,571.20 ","$8,706,640.32 ","$9,503,507.52 ","$9,789,514.02 ","$4,918,176.90 ","$5,934,239.82 ","$5,829,575.40 ","$7,573,975.20 ","$8,237,443.50 ","$8,751,157.83 ","$5,369,944.50 ","$4,825,543.23 ","$6,815,503.08 ","$5,625,262.08 ","$6,456,599.64 ","$6,136,511.94 ","$6,227,992.44 ","$7,600,199.94 ","$6,008,892.12 ","$6,735,531.33 ","$8,369,528.31 ","$6,743,061.27 ","$6,193,375.65 ","$8,158,689.99 ","$6,765,639.75 ","$6,546,001.59 ","$8,028,559.17 ","$6,620,569.38 ","$9,416,007.90 ","$7,591,534.02 ","$8,157,654.00 ","$11,275,564.50 ","$9,722,691.00 ","$9,060,366.78 ","$10,808,360.55 ","$13,322,875.95 ","$11,067,763.05 ","$13,303,290.60 ","$10,928,306.70 ","$10,900,161.72 ","$13,743,866.43 ","$10,895,923.71 ","$12,243,636.00 ","$14,569,488.00 ","$11,721,416.40 ","$14,884,149.42 ","$11,231,086.23 ","$7,455,231.00 "
24,XOFIGO (79101) - Dose Units ,,,,,,,,,,,,,,,,,,,12,32,,17,99,67,92,65,71,93,102,79,82,110,90,137,87,84,120,109,121,125,129,138,167,147,157,213,146,203,239,190,163,284,205,203,290,226,294,248,231,296,230,236,303,239,245,295,235,246,321,261,273,341,284,276,370,294,291,371,292,353,296,289,365,328,329,327,430,382,431,396,399,569,455,453,594,468,584,469,350
25,XOFIGO (79101) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,XOLAIR (J2357) - Dose Units ,"31,136","29,393","35,705","31,922","30,083","30,489","25,606","37,053","29,431","27,903","36,983","31,912","30,587","31,199","41,580","32,925","42,091","33,953","34,267","44,499","37,047","34,717","43,281","36,559","39,229","36,537","38,955",,,,"39,082","51,450","43,968",,,,"57,612","57,685","60,494","65,618","80,468","67,499","73,269","73,220","65,074","86,081","65,870","67,106","69,469","57,808","62,040","73,989","57,120","52,922","71,374","61,482","84,429","72,977","61,714","81,928","55,586","66,055","81,703","71,070","71,692","88,324","74,890","73,914","97,182","96,062","70,609","91,715","83,392","66,642","85,976","85,800","96,034","106,149","110,629","117,329","120,307","91,464","106,199","89,253","68,198","70,783","87,982","60,564","82,760","67,606","57,735","86,568","55,600","53,919","65,647","53,197","56,811","44,433","27,697"
